id;title;description;task_time
1;withdrawal Moldovan Leu Intelligent;Analyst Technician;2020-01-19T12:22:10
2;matrices;payment Chair methodologies;2020-01-20T03:12:35
3;Baby morph;South Dakota;2020-01-19T21:00:01
4;Frozen Turnpike Stream;Human transmit Usability;2020-01-19T14:19:45
5;Pakistan Rupee proactive reboot;zero administration;2020-01-19T23:28:27
6;Fresh back up Pa'anga;web-enabled back-end optical;2020-01-20T03:36:54
7;Uganda Shilling driver;Reduced;2020-01-20T01:48:53
8;Avon interface Orchestrator;integrate;2020-01-19T22:14:50
9;Flats programming Industrial;architectures Executive multi-tasking;2020-01-19T04:17:57
10;input;Applications Dynamic;2020-01-19T23:35:58
